conta;sex;idade;cartao;status_loan;loan_am;trans_sum;avg_sal;unemp_r;entrep_no
4863;F;79;junior;A;76080;1026111;9307;1,333333333;118
4894;M;35;classic;A;117024;817076;10045;1;135
4949;F;44;gold;C;289920;979274;8705;1,4;116
4999;F;58;classic;C;165168;871287;12541;1;167
5120;F;40;classic;A;323472;1096754;12541;1;167
5133;M;43;classic;C;57060;1261366;9893;1;96
5180;F;46;classic;C;58764;792861;9897;1;140
5196;M;56;classic;A;79824;1241356;8598;1,5;123
5213;M;36;classic;D;320976;1173797;12541;1;167
5215;F;49;classic;A;14628;415991;8743;2;111
5442;F;78;junior;B;174744;1289883;9307;1,333333333;118
5477;M;54;classic;C;349392;1439358;8720;1,333333333;116
5593;M;62;classic;A;44376;1522885;9045;1;124
5602;M;44;classic;C;177504;1188987;8402;1;120
5622;M;79;junior;A;83016;467689;8720;1,333333333;116
5891;M;57;gold;A;65184;946574;8980;2;111
5944;F;44;classic;C;78720;560003;8561;1;110
5952;M;62;classic;A;141240;921876;8187;1,25;94
6030;F;70;gold;A;28248;548230;9538;1;111
6062;M;75;classic;C;321360;1033751;8991;2;128
6148;M;58;classic;A;59760;596488;10673;1,25;100
6157;F;42;classic;C;247920;1713261;9675;1,166666667;100
6265;M;37;classic;C;87360;524686;9307;1,333333333;118
6273;M;62;classic;A;87360;874691;8965;1,142857143;104
6353;M;53;classic;C;79920;638953;10787;1,5;131
6363;M;46;gold;A;17508;335960;8754;1,333333333;137
6461;F;75;classic;C;150912;890490;8187;1,25;94
6505;F;64;classic;C;38496;328299;9920;1;130
6510;M;65;classic;C;76992;487357;10673;1,25;100
6592;F;78;junior;C;390660;1537226;12541;1;167
6649;M;67;classic;C;100260;581951;12541;1;167
6924;M;79;junior;C;194880;643489;10673;1,25;100
6930;F;60;classic;A;25944;626267;9832;1,333333333;114
6950;F;66;classic;C;475680;680993;9198;1,333333333;131
7045;M;43;classic;C;288720;967329;8541;1;131
7049;F;79;junior;C;495180;1288550;8173;;124
7156;F;41;classic;C;49488;621442;8678;1;102
7614;F;70;classic;C;320592;1054815;8544;1;109
7637;M;78;junior;C;390096;640869;8369;2;117
7721;F;47;classic;C;45456;605591;8598;1,5;123
7733;F;50;classic;C;140064;1131251;8402;1;120
7745;F;42;classic;C;77544;1336857;8507;1;132
7753;F;68;classic;A;51696;1573756;10673;1,25;100
7795;M;45;gold;C;372120;1457662;9624;2;145
7859;F;52;gold;A;72120;892015;8363;1,5;108
7861;M;54;classic;A;21852;485559;9675;1,166666667;100
7894;M;69;classic;C;153144;720569;8561;1;110
7957;M;64;classic;A;42900;921844;8541;1;131
8026;M;42;classic;C;128268;615475;9198;1,333333333;131
8038;F;67;classic;C;35856;575518;9538;1;111
8039;M;72;classic;A;93600;791061;8899;1;149
8041;M;41;classic;A;140400;727242;10673;1,25;100
8127;F;68;classic;A;155880;1183319;9065;1,25;123
8129;M;65;classic;A;74736;529384;8390;1;132
8173;F;76;junior;A;80340;1035683;12541;1;167
8260;M;76;junior;A;224604;1456465;8930;1,333333333;108
8327;M;79;junior;C;247728;728671;12541;1;167
8492;F;55;classic;C;85860;336326;8507;1;132
8533;F;52;classic;C;174048;597360;9538;1;111
8547;F;45;classic;C;173016;272853;10045;1;135
8625;M;71;classic;A;47304;599117;9624;2;145
8931;M;47;classic;C;186300;1395454;8288;1,333333333;110
9093;M;53;classic;C;189300;519634;8757;1;96
9235;F;41;classic;C;83280;382917;9065;1,25;123
9265;F;80;junior;A;39576;765286;9272;1,5;118
9337;F;59;classic;A;52128;405049;9622;1;154
9377;F;66;classic;C;99936;743518;12541;1;167
9422;F;40;classic;A;86184;1133870;10177;1,166666667;81
9491;M;80;junior;C;225504;1137071;9920;1;130
9504;M;49;classic;C;341280;980514;8899;1;149
9790;M;43;classic;C;133968;1431817;8363;1,5;108
9814;F;72;gold;A;96168;1268904;9624;2;145
9859;F;64;classic;C;300600;777167;8561;1;110
9869;M;80;junior;C;331560;573874;8507;1;132
10022;F;44;classic;C;218064;727678;12541;1;167
10065;F;46;classic;C;311232;1588943;8369;1,25;107
10079;F;70;classic;C;167100;888741;8544;1;109
10243;M;56;classic;C;113436;1791144;8254;1,5;97
10280;F;62;classic;C;348120;870967;8173;;124
10297;M;53;classic;C;421008;639432;10045;1;135
10361;F;40;classic;A;86880;1138138;9104;2;123
10404;M;69;classic;C;194280;633516;12541;1;167
10411;M;64;gold;A;123408;933095;10446;1,285714286;90
10439;M;53;gold;A;151560;977127;8512;1,333333333;102
10445;M;55;classic;C;23412;615232;8994;1,333333333;110
10520;M;70;gold;C;417600;386245;8743;2;111
10613;M;65;classic;C;249792;888757;8743;2;111
10644;F;79;junior;C;269964;1144718;8427;1;107
10650;M;50;gold;C;196224;1294798;8369;1,25;107
10663;M;76;classic;A;260028;1127853;9622;1;154
10679;F;62;classic;C;197808;1276819;12541;1;167
10738;M;37;classic;A;115992;1593326;8930;1,333333333;108
10905;M;58;classic;C;57120;281496;9272;1,5;118
10954;M;60;classic;C;18720;325561;8554;1;113
11013;M;78;junior;A;274740;1080258;8288;1,333333333;110
11042;M;74;classic;A;217152;939462;8994;1,333333333;110
11079;M;70;classic;A;98304;1245237;8427;1;107
11138;M;63;classic;A;89880;1506800;10177;1,166666667;81
11141;F;76;classic;A;44940;964011;12541;1;167
11186;F;80;junior;C;392460;1093597;8754;1,333333333;137
11359;M;68;classic;A;54024;670859;8814;1,25;107

